亞洲股市指數行情,亞洲股市指數行情,亞洲股市指數行情,亞洲股市指數行情,亞洲股市指數行情
股市,指數,漲跌,比例,當地
紐西蘭,10760.29,64.70,0.60%,17:51
澳洲股市,5559.10,71.10,1.30%,18:02
日經225,20390.66,211.57,1.05%,15:15
東證一部,1480.62,22.34,1.53%,15:00
東證二部,5827.54,115.73,2.03%,15:00
JASDAQ,151.31,3.22,2.17%,15:00
韓國股市,1935.40,-10.42,-0.54%,18:03
台灣加權,11013.26,111.84,1.03%,13:33
台灣店頭,141.80,0.75,0.53%,13:33
上海綜合,2894.80,-0.54,-0.02%,15:59
上海A股,3034.08,-0.50,-0.02%,15:59
上海B股,213.11,-2.55,-1.18%,15:59
深圳A股,1888.54,-4.63,-0.24%,16:29
深圳B股,839.58,-4.16,-0.49%,16:29
滬深300,3960.18,-3.44,-0.09%,15:59
深證成指,10969.28,-32.30,-0.29%,16:29
中小板指,7180.56,-51.37,-0.71%,16:29
創業板指,2102.83,-22.42,-1.05%,16:29
香港恆生,24602.06,371.89,1.53%,16:00
香港國企,9990.48,122.14,1.24%,16:09
香港紅籌,3852.79,29.15,0.76%,16:09
香港創業板,79.41,1.95,2.52%,16:27
新加坡,2611.31,19.43,0.75%,17:20
菲律賓,5667.93,0.00,0%,13:00
馬來西亞,1382.31,5.38,0.39%,05/08
越南股市,828.33,14.60,1.79%,15:01
泰國股市,1287.30,21.28,1.68%,16:53
印尼股市,4639.11,41.67,0.91%,15:15
印度股市,31561.22,-81.48,-0.26%,16:59
